,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
0,alpha_1.5_temp_10.0,1.5,10.0,43,0,4.353403,4.3535037,1.0,0.9999999999999424,0.15609663180510203,0.0,0.033293437479684745
1,alpha_1.5_temp_10.0,1.5,10.0,43,100,2.4557762,2.4693925,1.0,0.9999999999999424,0.19623499255875745,0.0,0.09231808455785113
2,alpha_1.5_temp_10.0,1.5,10.0,43,200,2.2557662,2.27594,1.0,1.0000141633092738,0.2255992992768685,3.6814460609093656e-05,0.12366261056562267
3,alpha_1.5_temp_10.0,1.5,10.0,43,300,2.0221655,2.0904536,1.0,1.0176146127377474,0.27605593636631964,0.01791803533155568,0.18434617532293
4,alpha_1.5_temp_10.0,1.5,10.0,43,400,1.825835,1.9547644,1.0,1.0413014037752009,0.32010491876800856,0.033744274296865114,0.24136364720265072
5,alpha_1.5_temp_10.0,1.5,10.0,43,500,1.6840274,1.8466429,1.0,1.0656632815320746,0.3543917366315921,0.04740631098484543,0.2708231897714238
6,alpha_1.5_temp_10.0,1.5,10.0,43,600,1.5924115,1.7644423,1.0,1.064877616955534,0.3743425743232171,0.050497895873539776,0.2854941138960421
7,alpha_1.5_temp_10.0,1.5,10.0,43,700,1.5165282,1.6977473,1.0,1.0750715532975408,0.3862514472206433,0.056978331491273515,0.27560387582704426
8,alpha_1.5_temp_10.0,1.5,10.0,43,800,1.463771,1.6579553,1.0,1.0755443671421643,0.39142749152580897,0.05796343440422788,0.2547112181161841
9,alpha_1.5_temp_10.0,1.5,10.0,43,900,1.418715,1.6211867,1.0,1.0711721573113746,0.40105777869125214,0.054441094167220094,0.25293764329950014
10,alpha_1.5_temp_10.0,1.5,10.0,43,1000,1.3853534,1.5931741,1.0,1.0912173941791556,0.4064443045755228,0.06211086608609184,0.24818847764283417
11,alpha_1.5_temp_10.0,1.5,10.0,43,1100,1.3524055,1.5654677,1.0,1.0879403395640994,0.4098455304503441,0.06139750353309015,0.2405609426262478
12,alpha_1.5_temp_10.0,1.5,10.0,43,1200,1.3306575,1.5561223,1.0,1.0775089776030529,0.4148811008532842,0.05714561052558323,0.24094985664635896
13,alpha_1.5_temp_10.0,1.5,10.0,43,1300,1.3044828,1.538239,1.0,1.0836763286513866,0.41670483289659027,0.06012380438297987,0.228196723519514
14,alpha_1.5_temp_10.0,1.5,10.0,43,1400,1.288533,1.5271655,1.0,1.0842802003844392,0.41810208311180275,0.06010164901986718,0.21261386490985754
15,alpha_1.5_temp_10.0,1.5,10.0,43,1500,1.2659175,1.5194769,1.0,1.085778453317166,0.4212418827762206,0.06229366227332503,0.21251493280008438
16,alpha_1.5_temp_10.0,1.5,10.0,43,1600,1.2519774,1.5209758,1.0,1.0850054058011116,0.42605319823821386,0.05671097809510927,0.21323042225341002
17,alpha_1.5_temp_10.0,1.5,10.0,43,1700,1.2374002,1.5015637,1.0,1.0933933706026382,0.42672557449340826,0.06428454132316014,0.2214310665925344
18,alpha_1.5_temp_10.0,1.5,10.0,43,1800,1.2225988,1.5020912,1.0,1.0898124391467052,0.42753363791604837,0.06038365159494182,0.20413046188279985
19,alpha_1.5_temp_10.0,1.5,10.0,43,1900,1.2100804,1.4979565,1.0,1.0989752682477592,0.4312168814788262,0.06411513303623845,0.2072464897980293
20,alpha_1.5_temp_10.0,1.5,10.0,43,2000,1.19391,1.4967458,1.0,1.103553407720264,0.43220387955009937,0.06401703422951201,0.2044353313433627
21,alpha_1.5_temp_10.0,1.5,10.0,43,2100,1.1811609,1.4941949,1.0,1.0894342849902279,0.4320472906927268,0.06039071332197637,0.20709419765571754
22,alpha_1.5_temp_10.0,1.5,10.0,43,2200,1.1726694,1.498444,1.0,1.088494579156178,0.43263187484443183,0.060509532223766045,0.1974451051441332
23,alpha_1.5_temp_10.0,1.5,10.0,43,2300,1.1616691,1.4918829,1.0,1.0948079156600519,0.43481788608431815,0.059287447906318756,0.1925090265808006
24,alpha_1.5_temp_10.0,1.5,10.0,43,2400,1.1449387,1.4955813,1.0,1.0922705007588254,0.4351772894759973,0.06016433067092051,0.18772119067609308
25,alpha_1.5_temp_10.0,1.5,10.0,43,2500,1.1376868,1.4929702,1.0,1.0896103028457396,0.43665936519205567,0.05717534926684675,0.18965006217981376
