,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
0,alpha_2.5_temp_10.0,2.5,10.0,45,0,4.343819,4.338748,1.0,1.1513290116555275,0.2981909217139085,0.10422685093432664,0.18554058686892191
1,alpha_2.5_temp_10.0,2.5,10.0,45,100,2.434909,2.450206,1.0,1.3658305325325844,0.36793831186493237,0.23152382569263377,0.3044428307165702
2,alpha_2.5_temp_10.0,2.5,10.0,45,200,2.1900165,2.225374,1.0,1.3423855968214655,0.37301813214023904,0.23600137218336267,0.3081064120978117
3,alpha_2.5_temp_10.0,2.5,10.0,45,300,1.9602385,2.0471275,1.0,1.329846313832749,0.3899243043363095,0.22257409410675366,0.2715581271201372
4,alpha_2.5_temp_10.0,2.5,10.0,45,400,1.7643845,1.9087205,1.0,1.3354865143027321,0.4113339393138886,0.21578303558627765,0.262834961771965
5,alpha_2.5_temp_10.0,2.5,10.0,45,500,1.6350603,1.8118804,1.0,1.3232383223457773,0.4219266225000222,0.2227957878932357,0.2569902467379967
6,alpha_2.5_temp_10.0,2.5,10.0,45,600,1.5486472,1.7261425,1.0,1.3329740021648775,0.42882639423012736,0.2162539841880401,0.2369765230913957
7,alpha_2.5_temp_10.0,2.5,10.0,45,700,1.4855871,1.6771734,1.0,1.3428510385454508,0.43500923817356424,0.22083058914045495,0.25056867668032645
8,alpha_2.5_temp_10.0,2.5,10.0,45,800,1.4397795,1.6364694,1.0,1.3332611137591461,0.44040693942705794,0.2150718403160572,0.23872128615279994
9,alpha_2.5_temp_10.0,2.5,10.0,45,900,1.3999035,1.603645,1.0,1.3435215029848322,0.4433000795344512,0.21532988216976323,0.23956869804859163
10,alpha_2.5_temp_10.0,2.5,10.0,45,1000,1.3664403,1.5786058,1.0,1.3207581508905981,0.44553313342730205,0.20963900212943554,0.23285617411633333
11,alpha_2.5_temp_10.0,2.5,10.0,45,1100,1.3430442,1.5563313,1.0,1.3224846329111972,0.44851940555373826,0.21260659388204417,0.23473379914462567
12,alpha_2.5_temp_10.0,2.5,10.0,45,1200,1.3181376,1.5436289,1.0,1.3486560633783284,0.44871858822306,0.21675800200551745,0.23536888217926025
13,alpha_2.5_temp_10.0,2.5,10.0,45,1300,1.299688,1.5311667,1.0,1.337389515051565,0.4497090930740039,0.20951010334119202,0.2239759400685628
14,alpha_2.5_temp_10.0,2.5,10.0,45,1400,1.2781123,1.522854,1.0,1.3340742229590843,0.45260301836828387,0.20921217581629756,0.2308198113491138
15,alpha_2.5_temp_10.0,2.5,10.0,45,1500,1.2642639,1.5136076,1.0,1.3540120793359112,0.4531473723500967,0.21568001563598713,0.23598332177102566
16,alpha_2.5_temp_10.0,2.5,10.0,45,1600,1.2469862,1.5093696,1.0,1.341379567425926,0.4554281281878551,0.21286646157006425,0.2281669465800126
