,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
0,alpha_1.5_temp_10.0,1.5,10.0,44,0,4.2850976,4.2847834,1.0,0.9999999999999424,0.15503000865379968,0.0,0.032078872660174965
1,alpha_1.5_temp_10.0,1.5,10.0,44,100,2.447959,2.4583774,1.0,0.9999999999999424,0.1931596180597941,0.0,0.08641920805163682
2,alpha_1.5_temp_10.0,1.5,10.0,44,200,2.2401948,2.2673066,1.0,1.0000379267209503,0.2233572022815545,9.702194270600254e-05,0.10936180168079834
3,alpha_1.5_temp_10.0,1.5,10.0,44,300,2.0257614,2.092142,1.0,1.010973335117024,0.2667534656425317,0.013943360345438123,0.17309321743746597
4,alpha_1.5_temp_10.0,1.5,10.0,44,400,1.8441558,1.9648039,1.0,1.0425604074551613,0.3095871966332197,0.03834304566189045,0.2290693231318146
5,alpha_1.5_temp_10.0,1.5,10.0,44,500,1.7062782,1.8644841,1.0,1.0634961121801283,0.33541546494762103,0.05281515435982146,0.24299062389321624
6,alpha_1.5_temp_10.0,1.5,10.0,44,600,1.6090435,1.7861387,1.0,1.0755624484312816,0.35424288457632064,0.06255437595901701,0.23799993607960643
7,alpha_1.5_temp_10.0,1.5,10.0,44,700,1.5344173,1.7184455,1.0,1.0633534000762837,0.36546079299847284,0.05523136475803039,0.22873324088410785
8,alpha_1.5_temp_10.0,1.5,10.0,44,800,1.4746777,1.6645757,1.0,1.0774575712652001,0.3731892181634903,0.058941083318641174,0.21299834588201097
9,alpha_1.5_temp_10.0,1.5,10.0,44,900,1.4324479,1.6310176,1.0,1.0876856861742432,0.38228208875159425,0.06602020521529084,0.21598297329619529
10,alpha_1.5_temp_10.0,1.5,10.0,44,1000,1.394144,1.5992063,1.0,1.0859011339942715,0.3875662501802047,0.06365972646670222,0.2053801814550534
11,alpha_1.5_temp_10.0,1.5,10.0,44,1100,1.3670486,1.5799427,1.0,1.080175709907173,0.3908912124335766,0.06615651498929341,0.2040953103384624
12,alpha_1.5_temp_10.0,1.5,10.0,44,1200,1.3407371,1.5705465,1.0,1.0800032426849362,0.3934726517846187,0.06257721884529809,0.1926648625206823
13,alpha_1.5_temp_10.0,1.5,10.0,44,1300,1.3178767,1.5520267,1.0,1.0857106262258245,0.3960553098618984,0.06430558959203335,0.18977185233371952
14,alpha_1.5_temp_10.0,1.5,10.0,44,1400,1.2962023,1.5375965,1.0,1.0843440874119337,0.3985212868700425,0.06517629418821162,0.18324276609346268
15,alpha_1.5_temp_10.0,1.5,10.0,44,1500,1.2795532,1.5325364,1.0,1.0760562575309789,0.39943913394212727,0.06064929285536952,0.16901421881777545
16,alpha_1.5_temp_10.0,1.5,10.0,44,1600,1.2626227,1.5325661,1.0,1.0753180782540543,0.40278968525429565,0.06511002516201915,0.1841402273376783
17,alpha_1.5_temp_10.0,1.5,10.0,44,1700,1.246449,1.5235174,1.0,1.0750363802617968,0.4035747531155745,0.06497453045697633,0.17218598356408377
18,alpha_1.5_temp_10.0,1.5,10.0,44,1800,1.2324322,1.5208641,1.0,1.0773729871240998,0.4062876732945442,0.060108475053083865,0.17245168457428614
19,alpha_1.5_temp_10.0,1.5,10.0,44,1900,1.22027,1.5175303,1.0,1.0778867815418642,0.4081054696093003,0.059342050329740846,0.16768562231212855
20,alpha_1.5_temp_10.0,1.5,10.0,44,2000,1.2068713,1.5164114,1.0,1.0821024714964722,0.4096031752675771,0.06311670571199222,0.1709302059151232
21,alpha_1.5_temp_10.0,1.5,10.0,44,2100,1.1950713,1.5168413,1.0,1.0797629236692627,0.4099482184896866,0.06287818388758509,0.16280157661313813
22,alpha_1.5_temp_10.0,1.5,10.0,44,2200,1.1811128,1.5110409,1.0,1.083582482375592,0.41021203020215036,0.0648707698054768,0.1611700702694555
23,alpha_1.5_temp_10.0,1.5,10.0,44,2300,1.1723772,1.5058459,1.0,1.0827377213409288,0.41206613769630596,0.0641811246258306,0.15830494782111296
24,alpha_1.5_temp_10.0,1.5,10.0,44,2400,1.1581643,1.5106182,1.0,1.0815649743578837,0.4120669889450073,0.05954967483167578,0.14854307782339551
25,alpha_1.5_temp_10.0,1.5,10.0,44,2500,1.1469638,1.5055876,1.0,1.085629544656243,0.41414303656915824,0.06582914428665633,0.1564061181684956
