,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
0,alpha_1.5_temp_0.5,1.5,0.5,44,0,4.29086,4.291706,1.0,1.2957661387870945,0.6247880818446477,0.16016223318129777,0.32643768875300877
1,alpha_1.5_temp_0.5,1.5,0.5,44,100,2.4385726,2.456411,1.0,1.5845971299664896,0.8645958226919174,0.3316012403567632,0.4719297293424607
2,alpha_1.5_temp_0.5,1.5,0.5,44,200,2.2059546,2.243033,1.0,1.4763520131224712,0.8326349447568258,0.29819192363570135,0.4028109471698602
3,alpha_1.5_temp_0.5,1.5,0.5,44,300,1.9596567,2.0517676,1.0,1.6290529239025204,0.8438683117032051,0.34217783584694067,0.4255793537149826
4,alpha_1.5_temp_0.5,1.5,0.5,44,400,1.7582603,1.9014997,1.0,1.6395436101082714,0.8486102762619655,0.3360820797805985,0.412091162348787
5,alpha_1.5_temp_0.5,1.5,0.5,44,500,1.6318827,1.8010964,1.0,1.6874165554783283,0.8499186299244563,0.3510918510382374,0.41741923063993464
6,alpha_1.5_temp_0.5,1.5,0.5,44,600,1.5460151,1.7426728,1.0,1.6631379531964725,0.8471412119070688,0.3455550249715646,0.41031470140318077
7,alpha_1.5_temp_0.5,1.5,0.5,44,700,1.4799607,1.6848296,1.0,1.6423207679033964,0.8454549894233544,0.34377640393624703,0.4127058364053567
8,alpha_1.5_temp_0.5,1.5,0.5,44,800,1.434876,1.6384962,1.0,1.6387858268116469,0.8457136791745822,0.3315707164692382,0.3996957486271859
9,alpha_1.5_temp_0.5,1.5,0.5,44,900,1.3957242,1.6088873,1.0,1.6494257083244805,0.843866942812999,0.3432276317775249,0.4086071144044399
10,alpha_1.5_temp_0.5,1.5,0.5,44,1000,1.3646047,1.583698,1.0,1.6504914905621746,0.8418759966790677,0.33988413581003746,0.4041158036192258
11,alpha_1.5_temp_0.5,1.5,0.5,44,1100,1.3409321,1.5678552,1.0,1.6472154303609148,0.8410879394710064,0.3385715321935714,0.4011026132851839
12,alpha_1.5_temp_0.5,1.5,0.5,44,1200,1.3173865,1.5574938,1.0,1.6093873099639124,0.8424212118784586,0.3287448597674569,0.3963363290776809
13,alpha_1.5_temp_0.5,1.5,0.5,44,1300,1.2971948,1.5413914,1.0,1.6412327599963812,0.8415879187583922,0.3372903839840243,0.39348835241297886
14,alpha_1.5_temp_0.5,1.5,0.5,44,1400,1.277296,1.5244564,1.0,1.6371936071639255,0.8408530699610711,0.3329785144838194,0.3955371114859978
15,alpha_1.5_temp_0.5,1.5,0.5,44,1500,1.2613238,1.5169885,1.0,1.6231115003842789,0.8404564897914728,0.3303671282225599,0.39117762163281444
16,alpha_1.5_temp_0.5,1.5,0.5,44,1600,1.2466211,1.517439,1.0,1.6508840140750325,0.8410934777657192,0.33767151853380106,0.3983041087289651
17,alpha_1.5_temp_0.5,1.5,0.5,44,1700,1.2317592,1.5108721,1.0,1.628123370898123,0.8395447466472784,0.3278051628523196,0.38913326723376906
18,alpha_1.5_temp_0.5,1.5,0.5,44,1800,1.2181284,1.5017973,1.0,1.6073689530261408,0.8404050975541275,0.32291952849552036,0.39128552266955374
19,alpha_1.5_temp_0.5,1.5,0.5,44,1900,1.2079792,1.4980303,1.0,1.612880398910893,0.84180714092652,0.32400400114587197,0.39464993228514994
20,alpha_1.5_temp_0.5,1.5,0.5,44,2000,1.1936746,1.4980044,1.0,1.6258667846223764,0.839896342287461,0.32761363235209134,0.38416492682695386
21,alpha_1.5_temp_0.5,1.5,0.5,44,2100,1.1827651,1.4977932,1.0,1.6360273731877888,0.8399357565144698,0.3329972802180176,0.3873072420358658
22,alpha_1.5_temp_0.5,1.5,0.5,44,2200,1.1744089,1.4953222,1.0,1.6272044031584547,0.8405516971250376,0.33226257417614885,0.39174746711055447
23,alpha_1.5_temp_0.5,1.5,0.5,44,2300,1.1623638,1.4950097,1.0,1.6190281351080518,0.8385601369390886,0.3293096852299447,0.3824495914826791
24,alpha_1.5_temp_0.5,1.5,0.5,44,2400,1.1505845,1.4951774,1.0,1.606799290901644,0.8394168679912886,0.3218605331367192,0.38218911556899543
25,alpha_1.5_temp_0.5,1.5,0.5,44,2500,1.1395379,1.4950699,1.0,1.623761636195125,0.8388741759459178,0.33155426382351044,0.3796151744772991
26,alpha_1.5_temp_0.5,1.5,0.5,44,2600,1.1268243,1.4974873,1.0,1.6060755563231963,0.839683087905248,0.32305154962232335,0.38302608489990236
27,alpha_1.5_temp_0.5,1.5,0.5,44,2700,1.1192054,1.4955251,1.0,1.6225925064297269,0.83835618194441,0.3308387819384225,0.3805689358810584
28,alpha_1.5_temp_0.5,1.5,0.5,44,2800,1.1088356,1.5016255,1.0,1.6082374961269232,0.8385557033270598,0.3264784618729415,0.3786642642468214
29,alpha_1.5_temp_0.5,1.5,0.5,44,2900,1.0956594,1.5059419,1.0,1.6127913143923587,0.8383375658094884,0.32936916048095255,0.38044774113595486
30,alpha_1.5_temp_0.5,1.5,0.5,44,3000,1.0886681,1.5137378,1.0,1.624791344967843,0.8377880105475586,0.3310463767928692,0.3780759836733341
31,alpha_1.5_temp_0.5,1.5,0.5,44,3100,1.0766423,1.5066463,1.0,1.6094373878025967,0.8382756344079971,0.32785901145155855,0.3779063333968322
32,alpha_1.5_temp_0.5,1.5,0.5,44,3200,1.0680661,1.5097748,1.0,1.6292320809000131,0.8377218077729145,0.3314337177897493,0.37712315741181374
33,alpha_1.5_temp_0.5,1.5,0.5,44,3300,1.056281,1.520527,1.0,1.6199624545545104,0.8374791173934937,0.3254145459361995,0.3741971666266521
34,alpha_1.5_temp_0.5,1.5,0.5,44,3400,1.0453736,1.5150763,1.0,1.5966677908914946,0.8392124145726362,0.32377220510008436,0.37091335851450763
35,alpha_1.5_temp_0.5,1.5,0.5,44,3500,1.0380691,1.5249658,1.0,1.6110588826245804,0.8393701881965002,0.3270280409627594,0.37235078466931976
36,alpha_1.5_temp_0.5,1.5,0.5,44,3600,1.0266143,1.5302868,1.0,1.6062639121515694,0.8382691873461008,0.32853493059488637,0.37154618947704626
37,alpha_1.5_temp_0.5,1.5,0.5,44,3700,1.0172884,1.5340356,1.0,1.6123123133230017,0.8376507901052634,0.3283385115731508,0.36818442395329476
38,alpha_1.5_temp_0.5,1.5,0.5,44,3800,1.0066148,1.5424913,1.0,1.6228161668238854,0.8379537518769503,0.3311473293329279,0.364176305587093
39,alpha_1.5_temp_0.5,1.5,0.5,44,3900,0.9963971,1.55277,1.0,1.6240951414899432,0.8380931748400132,0.3277810042832668,0.3695015261818965
40,alpha_1.5_temp_0.5,1.5,0.5,44,4000,0.9852662,1.5553808,1.0,1.6173875932748019,0.838092014854153,0.32890093196136877,0.37291090578089153
41,alpha_1.5_temp_0.5,1.5,0.5,44,4100,0.97613,1.5535144,1.0,1.6176829238526949,0.8370623575250308,0.32916764941671867,0.37095266136278715
42,alpha_1.5_temp_0.5,1.5,0.5,44,4200,0.9671662,1.5647388,1.0,1.6294137308820804,0.8368756293853123,0.3303689399502861,0.3688290780012806
43,alpha_1.5_temp_0.5,1.5,0.5,44,4300,0.9574273,1.5796428,1.0,1.6025334562432867,0.8365028104384741,0.32544249776595585,0.3617935141175985
44,alpha_1.5_temp_0.5,1.5,0.5,44,4400,0.9458404,1.5803976,1.0,1.60403260261214,0.8366482022255659,0.32663129051658324,0.3646900228311618
45,alpha_1.5_temp_0.5,1.5,0.5,44,4500,0.9344567,1.5967416,1.0,1.5972813484665416,0.8370667658795914,0.32618504933066045,0.3585163577869534
46,alpha_1.5_temp_0.5,1.5,0.5,44,4600,0.923349,1.5942873,1.0,1.6116601247011466,0.8368075744162002,0.32767368883693904,0.36256466359148426
47,alpha_1.5_temp_0.5,1.5,0.5,44,4700,0.91522866,1.5988816,1.0,1.593571303262238,0.8373383797556162,0.3248127763494849,0.3582498103479544
48,alpha_1.5_temp_0.5,1.5,0.5,44,4800,0.90508056,1.6056277,1.0,1.5964667695789043,0.8366617981394131,0.3247475483041102,0.3666236266071598
