,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
0,alpha_2.0_temp_10.0,2.0,10.0,46,0,4.398935,4.3993053,1.0,1.008480207001794,0.2068018117249012,0.009021654369464765,0.08765340812628468
1,alpha_2.0_temp_10.0,2.0,10.0,46,100,2.4404502,2.455338,1.0,1.1276868918503762,0.28318064507842067,0.08606925183162094,0.20063674113651117
2,alpha_2.0_temp_10.0,2.0,10.0,46,200,2.2061055,2.2346013,1.0,1.1601954888093668,0.3019498439033826,0.10807142286375165,0.20789283805092174
3,alpha_2.0_temp_10.0,2.0,10.0,46,300,1.956033,2.0403383,1.0,1.17761901983193,0.3309973547756672,0.1084593137719979,0.19082392681390048
4,alpha_2.0_temp_10.0,2.0,10.0,46,400,1.7683982,1.8982456,1.0,1.1954456331623622,0.3607983200947444,0.11016680960791807,0.2008166765893499
5,alpha_2.0_temp_10.0,2.0,10.0,46,500,1.6400279,1.7997712,1.0,1.1947042785642927,0.3760702315072219,0.10711840948027869,0.19218366426974534
6,alpha_2.0_temp_10.0,2.0,10.0,46,600,1.5519257,1.7239709,1.0,1.1900329015290765,0.388529144714276,0.12114267725155999,0.19014656635870533
7,alpha_2.0_temp_10.0,2.0,10.0,46,700,1.4846977,1.6680025,1.0,1.2157342056617646,0.39555622747540475,0.12445320705665897,0.1960495891744892
8,alpha_2.0_temp_10.0,2.0,10.0,46,800,1.4343351,1.6226844,1.0,1.2257109321139283,0.402358824407061,0.1327277150079608,0.1872775140404701
9,alpha_2.0_temp_10.0,2.0,10.0,46,900,1.3953855,1.5952739,1.0,1.1971493363346586,0.4087545136610667,0.12521692191561062,0.17300192458679278
10,alpha_2.0_temp_10.0,2.0,10.0,46,1000,1.3632916,1.5723996,1.0,1.2306519210706457,0.41098151298860713,0.14219617260061204,0.19027838270862896
11,alpha_2.0_temp_10.0,2.0,10.0,46,1100,1.3360704,1.5539944,1.0,1.2187645257734656,0.4149261242896318,0.13707674011060347,0.17546292371799546
12,alpha_2.0_temp_10.0,2.0,10.0,46,1200,1.3132877,1.5379691,1.0,1.2417119341586234,0.416304273451368,0.1411841348260641,0.16835929913570483
13,alpha_2.0_temp_10.0,2.0,10.0,46,1300,1.2927879,1.5233741,1.0,1.2356886723515288,0.41843729993700984,0.1406895509790629,0.16836359331011772
14,alpha_2.0_temp_10.0,2.0,10.0,46,1400,1.2725196,1.5164173,1.0,1.2257782150953975,0.419859291434288,0.14008739720719554,0.15379311989620328
15,alpha_2.0_temp_10.0,2.0,10.0,46,1500,1.2551273,1.5157381,1.0,1.2314961797941388,0.4240074292570353,0.14144811983934294,0.1631504917641481
16,alpha_2.0_temp_10.0,2.0,10.0,46,1600,1.2387438,1.5045888,1.0,1.2370877792717905,0.4249407740682363,0.14996819768520073,0.16818589267631376
17,alpha_2.0_temp_10.0,2.0,10.0,46,1700,1.2255695,1.4984148,1.0,1.2319607320752137,0.42627504720787207,0.1457427798829352,0.1650125540147225
18,alpha_2.0_temp_10.0,2.0,10.0,46,1800,1.2111065,1.4976318,1.0,1.2387490645137393,0.4281776142269373,0.15016951165813952,0.16005873451133568
19,alpha_2.0_temp_10.0,2.0,10.0,46,1900,1.197378,1.4968013,1.0,1.2265842458003835,0.42817690830926103,0.14568414375589542,0.15891836221019426
20,alpha_2.0_temp_10.0,2.0,10.0,46,2000,1.1833003,1.4890828,1.0,1.2359092459829344,0.43054948875308036,0.1448655411838554,0.15244832247868179
21,alpha_2.0_temp_10.0,2.0,10.0,46,2100,1.1717489,1.4847426,1.0,1.2397559886185028,0.43269731724262234,0.14918438950072352,0.15941648372511072
22,alpha_2.0_temp_10.0,2.0,10.0,46,2200,1.1596161,1.4870371,1.0,1.2348180129467832,0.43255221733450894,0.14837884729883324,0.15880797643090286
23,alpha_2.0_temp_10.0,2.0,10.0,46,2300,1.1463133,1.4928575,1.0,1.2216067750384072,0.43330023102959,0.14167914413490024,0.14488424057637653
24,alpha_2.0_temp_10.0,2.0,10.0,46,2400,1.1360948,1.4867668,1.0,1.2502357164055908,0.4338652636408806,0.15379527365105847,0.16088890205447873
25,alpha_2.0_temp_10.0,2.0,10.0,46,2500,1.1236507,1.4961077,1.0,1.2363185069742435,0.4355437955011925,0.1508394679951792,0.15669785312811535
26,alpha_2.0_temp_10.0,2.0,10.0,46,2600,1.1119071,1.4987571,1.0,1.2392138243567945,0.43644022461275256,0.15210349264771986,0.16152782624835768
27,alpha_2.0_temp_10.0,2.0,10.0,46,2700,1.1005961,1.5009358,1.0,1.2320471154158248,0.43780743595461047,0.15213491162192075,0.1552937507343789
28,alpha_2.0_temp_10.0,2.0,10.0,46,2800,1.0897379,1.495202,1.0,1.2325075707837245,0.4368464560111364,0.14915011513031398,0.14865119128798446
29,alpha_2.0_temp_10.0,2.0,10.0,46,2900,1.0770737,1.505733,1.0,1.2224544818789185,0.4380812788705031,0.14724628778453916,0.1506812809407711
30,alpha_2.0_temp_10.0,2.0,10.0,46,3000,1.067266,1.5048633,1.0,1.2305837988405877,0.43894678614040217,0.15356260525621473,0.15634930366153518
31,alpha_2.0_temp_10.0,2.0,10.0,46,3100,1.058088,1.5171136,1.0,1.2323627018646397,0.4400677427550157,0.1506287630669152,0.15613234395782152
32,alpha_2.0_temp_10.0,2.0,10.0,46,3200,1.04671,1.5243447,1.0,1.2331875293303918,0.44040288601318994,0.14875904479374488,0.14807716912527877
33,alpha_2.0_temp_10.0,2.0,10.0,46,3300,1.0345458,1.5173596,1.0,1.2376159553180117,0.4415231469521919,0.15026308002509178,0.1459510280837615
34,alpha_2.0_temp_10.0,2.0,10.0,46,3400,1.0233176,1.525749,1.0,1.229415922215065,0.4413719150871038,0.15044875579172126,0.15395821761215725
35,alpha_2.0_temp_10.0,2.0,10.0,46,3500,1.0125338,1.5197432,1.0,1.229147452863898,0.4411942850699028,0.14964877710770816,0.1517167098807792
36,alpha_2.0_temp_10.0,2.0,10.0,46,3600,1.0002725,1.5370688,1.0,1.2290576325823663,0.44059021156529593,0.14960794010851533,0.1508138512025277
37,alpha_2.0_temp_10.0,2.0,10.0,46,3700,0.99150527,1.5384233,1.0,1.2274317375326689,0.4412588452647129,0.15350373053178193,0.15036154513185224
38,alpha_2.0_temp_10.0,2.0,10.0,46,3800,0.98016626,1.5584627,1.0,1.221973935452732,0.4440787037213643,0.14585013011222084,0.15039308191463352
39,alpha_2.0_temp_10.0,2.0,10.0,46,3900,0.96882045,1.5567945,1.0,1.243279301341527,0.4421813338200251,0.1586956120117878,0.15750414511561395
40,alpha_2.0_temp_10.0,2.0,10.0,46,4000,0.9571653,1.5573046,1.0,1.2265411891569094,0.4416411760350068,0.1568401485616341,0.15500360014413792
41,alpha_2.0_temp_10.0,2.0,10.0,46,4100,0.94807714,1.5726326,1.0,1.2169645847211326,0.4434593629688024,0.14601278309524057,0.14051017881805697
42,alpha_2.0_temp_10.0,2.0,10.0,46,4200,0.93704087,1.570986,1.0,1.2338009373913348,0.4434662313312292,0.15100416930858043,0.15214131469403705
43,alpha_2.0_temp_10.0,2.0,10.0,46,4300,0.9244683,1.5795962,1.0,1.22640034967106,0.443318119302392,0.1489618567669143,0.14492582290122907
44,alpha_2.0_temp_10.0,2.0,10.0,46,4400,0.9143247,1.5953138,1.0,1.2284315428228891,0.4432035894940296,0.15106707647427295,0.1442281135537972
45,alpha_2.0_temp_10.0,2.0,10.0,46,4500,0.9032481,1.6002871,1.0,1.2357914109484085,0.4427231696645419,0.154095592920358,0.15087934522454935
